Reforma del estado,Combate a la corrupción,Seguridad Paz y Justicia,El papel de México en el mundo,Estado,Distrito
Que los ministros que sean electos por el pueblo no tengan nexos con algún ex presidente o gobernante. ,Que se haga un reforma para que se meta a la cárcel.,Seguridad estricta pero no abusiva.,Que aborde los temas de delincuencia y crimen organizado. ,CDMX,2
Todo funcionario público debe presentar pruebas de honestidad. ,Empezar por el hogar para denunciar.,Dar más seguridad a los ciudadanos. ,Que impulse las visas de trabajo.,CDMX,2
Respeto a la Constitución Política Mexicana. ,"Que las secretarías de Estado no sean un lastre para las necesidades y proyectos de los ciudadanos, que profesionales orienten al ciudadano.","Que los periódicos, radio y TV sean fidedignos y confiables. ",Que no quiten los apoyos a quienes más lo necesitan. ,CDMX,2
Otra justicia para los demás. ,No ser la corrupción.,Que se vaya en contra de las narco tienditas a nivel nacional. ,Ayudar a la nación. ,CDMX,2
Que no ganen más que el Presidente.,"Claridad y comprobar con hechos, también esclarecer. ",Promover el apoyo para niños y jóvenes con aptitudes deportivas. ,Ayudar y proteger al país. ,CDMX,2
Recursos para el pueblo.,La austeridad extrema hace que el Estado sea inservible y no haya recursos para políticas públicas fundamentales. ,Implementar un plan de educación en las escuelas de principios y civismo. ,Defender a nuestros connacionales porque ellos ya ayudaron a otros países. ,CDMX,2
"Una auténtica democracia, que el INE sea reformado por una ley. ",Las auditorías que sean a las alcadías y funcionarios que entren a gobernar. ,Más seguridad pública donde hay más peligro. ,Que hagan que se cumplan las leyes.,CDMX,2
En la educación es importante que la SEP tenga control total de instituciones autónomoas donde existe corrupción.,Priorizar los valores a funcionarios públicos.,Reforma al poder judicial. ,Que haga que se cumplan las leyes porque tenemos leyes muy buenas pero nadie hace que se cumplan. ,CDMX,2
Que haya burocracia certificada. ,Estar al pendiente de los demás.,Priorizar valores de respeto y fraternidad. Trabajo en equipo. ,Programa sembrando vida a otras naciones. ,CDMX,2
Que se dé cuenta clara de los 2400 municipios. ,"Que se bajen los salarios los diputados, senadores y magistrados.",Tener un registro más amplio de personas que han violentado.,Ayuda para estudiantes de escuela públicas y privadas a hacer su servicio social y aprender de otros lados y así obtener documentación y cédula profesional. ,CDMX,2
"Fortalecer a las instituciones de contrapeso del Estado, no que se desaparezcan. ",Estar vigilando a los ladrones que roban a la nación. ,El uso civil de las fuerzas armadas.,Seguir con el tratado de paz y no refalar los recursos naturales al extranjero. ,CDMX,2
Que se les aplique una austeridad a los servidores públicos que ganen más que el presidente. ,Quitar a los corruptos comprados.,Reforma al poder judicial. ,Mayor identidad nacional para que retornen mexicanos a enseñar lo aprendido en el exterior. ,CDMX,2
"Acabar con los fideicomisos y terminar con los organismo autónomos, sólo dejar los mínimos y que estos sean fiscalizados. ",Que incluso los ministros de la SCJ tengan que acatar las leyes de austeridad. ,Ponerle cámaras corporales a la policía.,En defensa de ser tratado con respecto en todo el mundo. ,CDMX,2
Que siga dando el apoyo a los adultos mayores y becas a menores. ,Propiciar la unidad del pueblo dando atención a las familias. ,Además darle apoyo a las víctimas y que no se le dé carpetazo sin investigación previa. ,Que no espanten inversiones. ,CDMX,2
Propiciar la honestidad dentro de la burocracia. ,Se endurezcan las penas por corrupción. ,Aplicar las leyes con justicia.,Que México sea la punta de lanza para las demás naciones centroamericanas.,CDMX,2
La propuesta de reforma debería ser para que haya menos inocentes en las cárceles y que la polícia verdaderamente se dedique a perseguir a los criminales. ,"Dar fondos a las diferentes dependencias del gobierno federal -Secretaría del trabajo, etc.- para que den bueno servicio y no pongan pretextos.",Más vigilancia de la policía y de la Guardia Nacional en las colonias. ,Mayor acercamiento con América Latina. ,CDMX,2
"Que el salario de un delegado no pase de los 30, 000 y sean auditados. ",Seguridad.,Que los servidores del poder judicial ya no sean corruptos. ,Integración a los BRICS+,CDMX,2
Otra propuesta de Estado.,Auditoría a todas las alcaldías y sus trabajadores. ,,A nivel mundial y nacional.,CDMX,2
Burocracia con estudios. No amiguismo. ,"Castigar a LaValle, Barlet, los que reciben sobre amarillos. ",,Apoyo al estudiante en teconolgías internacionales. ,CDMX,2
"No tolerar el estacionemiento en calles principales, hospitales y escuelas. Mejoramiento del transporte público y alumbrado público. ","No queremos servidores chapulines, queremos servidores fundadores, no al PRIAN.",,Buscar fortalecer a nuestros aliados comerciales. ,CDMX,2
Que los medios de comunicación no den información falsa. Una ley que proponga medios del Estado. ,Cero tolerancia a la corrupción. ,,Se abra la participación de países adinerados. ,CDMX,2
La importancia de escuchar al pueblo para no perder el suelo con el poder. ,Que se capacite bien a la Guardia Nacional y policías. ,,Impulsar nuevas políticas exteriores ,CDMX,2
Más atención al 911.,La función de representantes oficiales sean legales. ,,,CDMX,2
Apoyar a los discapacitados a tener una vida digna. ,Optimizar las páginas de transparencia. ,,,CDMX,2
La revocación de mandato debe ser la voluntad del pueblo. Que los tres poderes de la nación funcionen como uno solo. Que se pratique una auténtica reforma educativa. ,Que estén grupos dedicados a ver en qué se gasta el presupuesto desde los puestos políticos de arriba y de abajo. Que no haya nepotismo. ,,,CDMX,2
Modificar la elección de jueces. ,Fuentes de trabajo para la sociedad. ,,,CDMX,2
Los Ministros de la Suprema Corte aunque sean independendientes no son independientes porque reciben sus pagos del gobierno federal.,911 no cumple lammadas que se realizan por causa de la corrupción.,,,CDMX,2
Aplicar reforma electoral y reforma a entes autónomos. ,Optimizar los recursos básicos del país. ,,,CDMX,2
"No queremos servidores públicos ""chapulines"", queremos servidores fundadores.",Expulsar de Morena a corruptos que se han insertado en el partido o no trabajan o no dan resultados en tiempos predeterminados. ,,,CDMX,2
,Aplicar al 100% la austeridad republicana. ,,,CDMX,2
,Que realmente se haga justicia. Pena de muerte.,,,CDMX,2
,Que el PRI no entre en Morena. ,,,CDMX,2
,Ley de pena de muerte a los corruptos. Sin burocracia y con honestidad se puede combatir la corrupción. ,,,CDMX,2
,"Una ley que regule o haga que la población esté bien informada por periódicos, radio y T. V. ",,,CDMX,2
,Que en las escuela primarias los maestros hagan conciencia en los niños acerca de éste tema. ,,,CDMX,2
,Examen de confianza. Polígrafo y antidoping. ,,,CDMX,2
,Examen de confiabilidad. ,,,CDMX,2
Procedimientos a través de poder legislativo para la sanción de ministros y cualquier otro servidor público del poder judicial,Penas dobles a funcionarios corruptos ,Eliminar la desigualdad para mitigar la pobreza y la exclusión ,,CDMX,3
