"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
Que personas capacitadas en las clases impartan las clases de Vida Saludable y de Educación Física,"Fortalecer las materias sobre historia, civismo y relacionadas con los problemas sociales",Atender de manera profunda las causas de violencia contra las mujeres,"Cursos a la militancia, aspirantes y funcionarios públicas sobre la diversidad sexual y la importancia de respetar sus derechos; crear alguna historia para generar reflexión sobre esta realidad",CDMX,1
Que haya con mayor periodicidad brigadas de salud para comunidades que cuentan con acceso limitado a sistemas de salud y que haya pláticas para prevenir enfermedades,Fomentar la lectura y el uso de sano de la tecnología,Garantizar protección a mujeres embarazas en el ámbito laboral,Apoyo para personas que sufren bullyng por esta situación en escuelas y trabajos,CDMX,1
Que no se discrimine en los hospitales a nadie,Recuperación del patrimonio y la cultura,Apoyos a amas de casa,Foros sobre la diversidad sexual en plazas públicas,CDMX,1
Más controles a la industria alimentaria,Educación preescolar óptima para que aprendar a escribir y leer los niños,Salario digno para empleadas domésticas,Reglamentos para sancionar la discriminación contra la comunidad LGBTTTI+,CDMX,1
Agilizar los trámites para accedes a los servicios de salud,Becas Benito Juárez en todas las universidades,Apoyos para mujeres adultas y madres solteras,"Educación sobre la diversidad sexual para padres, maestros y alumnos ",CDMX,1
Implementar en el sistema educativo materias sobre buena alimentación,Que sea más dinámico el ingreso a los niveles medio superior y superior en las escuelas,Fomentar equidad en los trabajos,Tipificar delitos contra la comunidad LGBTTTI+,CDMX,1
Fomentar la prevención en el servicio médico local,Construir más escuelas públicas y gratuitas,Fortalecer las políticas públicas de apoyo a las mujeres,,CDMX,1
Reeducar al personal médico que ha asimilado el neoliberalismo,Más universidades parecias al proyecto de la UACM,"Cursos de igualdad en la militancia, en las instittuciones públicas y centros de trabajo. Ocupar tiempos oficiales para promocionar la igualdad",,CDMX,1
Garantizar medicamentos y materiales en los hospitales,Reabrir escuelas normales rurales,Ampliar espacios para las mujeres en puestos estratégicos,,CDMX,1
Más camapañas sobre sexualidad en las escuelas para evitar embarazos infantiles,Inglés desde preescolar,Políticas para conceder permisos cuando las mujeres y padres tienen que atender situaciones especiales de sus hijos,,CDMX,1
Seguimiento desde las primarias a la salud mental de las personas,Romper con la brecha tecnológica,Tarjeta rosa para amas de casa,,CDMX,1
Reformar los sindicatos en el sector salud y eliminar el requisito de edad para ingresar a trabajar en el sector salud,Generar talleres sobre historia,Generar mecanismos para que las mujeres sean atendidas en las fiscalías,,CDMX,1
Charlas para que los trabajadores del sector salud sean más empáticos,Fomentar más los deportes en las escuelas,Mecanismos para garantizar protección a las mujeres que son víctimas de violencia,,CDMX,1
Revisión de los medicamentos para no surtir con algunos caducados o en mal estado,Campañas masivas para erradicar el analfabetismo en personas adultas,,,CDMX,1
Campañas de consultas gratuitas en los centros de trabajo,Fomentar la enseñanza de lenguas maternas desde primaria,,,CDMX,1
Dignificar a las personas de la tercera edad y enfermos mentales,Fortalecer las escuelas de especialidades médicas,,,CDMX,1
Políticas para que las cooperativas y cafeterías escolares vendan cosas nutritivas,Fomentar las artes,,,CDMX,1
"Recuperar la iniciativa del congreso de Oaxaca para prohibir comida chatarra en las escuelas, educar a los funcionarios públicos en esta área y que Conahcyt coordine programas para desarrollar medicamentos de calidad",,,,CDMX,1
