Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
Que personas capacitadas en las clases impartan las clases de Vida Saludable y de Educación Física,"Fortalecer las materias sobre historia, civismo y relacionadas con los problemas sociales",Atender de manera profunda las causas de violencia contra las mujeres,"Cursos a la militancia, aspirantes y funcionarios públicas sobre la diversidad sexual y la importancia de respetar sus derechos; crear alguna historia para generar reflexión sobre esta realidad"
Que haya con mayor periodicidad brigadas de salud para comunidades que cuentan con acceso limitado a sistemas de salud y que haya pláticas para prevenir enfermedades,Fomentar la lectura y el uso de sano de la tecnología,Garantizar protección a mujeres embarazas en el ámbito laboral,Apoyo para personas que sufren bullyng por esta situación en escuelas y trabajos
Que no se discrimine en los hospitales a nadie,Recuperación del patrimonio y la cultura,Apoyos a amas de casa,Foros sobre la diversidad sexual en plazas públicas
Más controles a la industria alimentaria,Educación preescolar óptima para que aprendar a escribir y leer los niños,Salario digno para empleadas domésticas,Reglamentos para sancionar la discriminación contra la comunidad LGBTTTI+
Agilizar los trámites para accedes a los servicios de salud,Becas Benito Juárez en todas las universidades,Apoyos para mujeres adultas y madres solteras,"Educación sobre la diversidad sexual para padres, maestros y alumnos "
Implementar en el sistema educativo materias sobre buena alimentación,Que sea más dinámico el ingreso a los niveles medio superior y superior en las escuelas,Fomentar equidad en los trabajos,Tipificar delitos contra la comunidad LGBTTTI+
Fomentar la prevención en el servicio médico local,Construir más escuelas públicas y gratuitas,Fortalecer las políticas públicas de apoyo a las mujeres,
Reeducar al personal médico que ha asimilado el neoliberalismo,Más universidades parecias al proyecto de la UACM,"Cursos de igualdad en la militancia, en las instittuciones públicas y centros de trabajo. Ocupar tiempos oficiales para promocionar la igualdad",
Garantizar medicamentos y materiales en los hospitales,Reabrir escuelas normales rurales,Ampliar espacios para las mujeres en puestos estratégicos,
Más camapañas sobre sexualidad en las escuelas para evitar embarazos infantiles,Inglés desde preescolar,Políticas para conceder permisos cuando las mujeres y padres tienen que atender situaciones especiales de sus hijos,
Seguimiento desde las primarias a la salud mental de las personas,Romper con la brecha tecnológica,Tarjeta rosa para amas de casa,
Reformar los sindicatos en el sector salud y eliminar el requisito de edad para ingresar a trabajar en el sector salud,Generar talleres sobre historia,Generar mecanismos para que las mujeres sean atendidas en las fiscalías,
Charlas para que los trabajadores del sector salud sean más empáticos,Fomentar más los deportes en las escuelas,Mecanismos para garantizar protección a las mujeres que son víctimas de violencia,
Revisión de los medicamentos para no surtir con algunos caducados o en mal estado,Campañas masivas para erradicar el analfabetismo en personas adultas,,
Campañas de consultas gratuitas en los centros de trabajo,Fomentar la enseñanza de lenguas maternas desde primaria,,
Dignificar a las personas de la tercera edad y enfermos mentales,Fortalecer las escuelas de especialidades médicas,,
Políticas para que las cooperativas y cafeterías escolares vendan cosas nutritivas,Fomentar las artes,,
"Recuperar la iniciativa del congreso de Oaxaca para prohibir comida chatarra en las escuelas, educar a los funcionarios públicos en esta área y que Conahcyt coordine programas para desarrollar medicamentos de calidad",,,
Eliminar los monopolios farmaceúticos,,,
Campañas de educación sobre temas de salud dirigidas a los padres,,,
Cuidar la alimentación de los policías,,,
,,,
Tener un control de los medicamentos pues se los roban así como material jurídico ,Educación y deportes así como vigilar que los alumnos no cometan violencia ,Que se nos apoye más a las mujeres en el aspecto de la violencia,Libertad y felicidad a todos 
Primover el plan C,"Dejen de hacer cambios en los libros de la SEP, puras cochinadas hicieron por una persona inexperta",Visitas domiciliarias de trabajo social para verificar que no exista violencia contra las mujeres ,Cursos para que se esté informada toda la población 
CONAHCYT debe impulsar la investigación de enfermedades ,Construcción de más planteles educativos en comunidades apartadas. De todos los niveles educativos ,Fomentar la capacitación laboral de las mujeres ,Empezar a respetar la diversidad pero también explicarle a ellos que se nace según el ADN y que se tome una decisión ya de adultos 
Control en Hospitales y clínicas ,Ayuda a madres solteras con hijos menores de 18 años,Se tiene que tomar en cuenta a las mujeres con un buen empleo y valorar su esfuerzo,Educarnos para aceptar a las personas con preferencias diferentes y respetarlas 
Implementar unidades médicas que lleguen a las comunidades de todo el país ,Modificar el plan de estudios de educación secundaria. Hay asignaturas obsoletas y retrógradas. Humanismo no es igual a altruismo ,Ayuda a madres soltereas de hijos de menores de 18 años,Que se respete a todas las diversidades sociales 
Debería haber medicamentos en zonas rurales ,Se debe educar desde casa con el ejemplo de todas en el hogar y en las escuelas deben tener libertad de expresión con respeto ,Menos horas de trabajo,Dar cultura a los padres para que a su vez ellos transmitan el respeto a sus hijos con quien los rodeen 
Garantizar plenamente que los hospitales cuenten con todos los equipos ,"Continuar con foros abiertos, públicos con participación de todos y todas, alumnos, padres de familia, maestros, sociedad en géneral. La desinformación nos lleva a rechazar lo que no se conoce ","Trabajos de cuatro horas para las mujeres para que les de tiempo de dejar a sus hijos, hacer comida, etc",Concientizar el respeto en todos los sentidos incluyendo a las personas con capacidades diferentes 
Actualmente la farmacéutica y serrvicios de salud están destinados solo a paliar enfermedades no a curarlas,En la erradicación del analfabetismo sería complementario conocer la experiencia que tuvo el país cubano en la integración de la ciudadanía para tal efecto ,"Que se investigue a las damas voluntarias de la Marina, roban mucho dinero con todos los eventos que hacen ","Más educación LGBT, una cosa es el sexo de nacimiento y otra la preferencia sexual "
Acceso a medicamentos de patente para todos ,Que se ponga más atención a las maestras y maestros y que descansen menos y pongan más atención a los niños ,Ser más solidarias con madres solteras ,Fomentar y mantener la capacitación con programación sobre los temas de la sexualidad 
Que sean supervisados los servicios de salud y los hospitales ,Que los desayunos se repartan en las primarias y sean más completos y nutritivos para que los niños pongan más atención en la clase y no en su hambre ,Que el sistema de ayuda sea en una estancia porque cuando se pide ayuda a las estancias son muy rígidas,Tener consistencia en el programa de nación 4T
Insistir en la distribución de medicamentos en el sector salud ,Validar que las becas sean para quienes lo merecen y necesitan ,Que de verdad se apoye a las mujeres,"Derechos y libertad de expresión a todas las generaciones, respeto e igualdad "
Quitar sistema de Afores que se establezcan normas y que prevalezca seguridad social en el IMSS ,Mejorar el contenido de la equidad de género para que primero acepten su sexo y después definan su preferencia,Que cada mujer que desaparezca se atienda el caso hasta que se encuentre al culpable,Acabar con el machismo y más feminismo
"Integrar sistemas de tecnologías para facilitar servicios sin eliminar los trámites ""presenciales"" para quienes no usan celular o internet ",Recalcar los valores y las tradiciones así como que no se pierdan las culturas ,"Sin duda las mujeres ya tienen que ser mejores, es su tiempo, ya no es tiempo de sobajarnos a la violencia y al machismo que todavía hay mucho",Respeto e igualdad hacia las mujeres 
Sensibilizar a todo el personal sobre todo a los médicos ,Ayudar a los docentes a tener mejores condiciones de trabajo con el material necesario para su cátedra.,"Se debería por ley, realizarse examen psicológico antes de casarse para ver qué tanta violencia hay en las personas y si son aptas para el matrinomio y tener hijos ","Que sea mutuo el respeto a la población LGBTTIQ, también deben portarse a la altura "
Agilizar los estudios para el cáncer pues avanza con mucha facilidad ,hay jefes que solo buscan cerrar plazas en lugar de aprovechar sus grandes capacidades docentes ,"Hombres y mujeres deben defender a mujeres, niños, adultos mayores y cualquier ser vivo que considere que está siendo victimado ",Tener mpas respeto a hablar de personas con gustos diferentes 
"Fomentar la bioestadística, dar una medicina preventiva, respaldar que se integren epidemiólogos en cada alcadía con sedes de orientación permanente ","Por favor becas a los estudiantes a nivel superior, gracias.","Acabar con el nepotismo en el trabajo, primero está la familia de ellos y no nosotras que estamos trabajando en el territorio",Derecho a las mismas oportunidades y respeto a los semejantes 
Es importante que así como se vacuna a las criaturas se les dé desde pequeños el servicio psicológico y/o psiquiátrico a los encargados de las infancias ,Más transporte en la noche para los estudiantes del IPN,"Proteger a las mujeres de la violencia política, pero realmente una institución que actúe con prontitud y eficacia","Es importante tener una conciencia acerca del tema de sexualidad, es un tema complicado de entender y aceptarlo"
Se requiere un sistema libre de intereses económicos ,Apoyar con más recursos económicos a estudiantes universitarios ,Educar a las mujeres para que eduquen a sus hijos sin ideologías machistas y que promuevan la igualdad entre sus hijos ,Concientizar a la población es la mejor herramienta 
Que hayan todos los medicamentos y material de curación ,"No todo se soluciona con becas, que haya profesores decentes al momento de enseñar, que estén preparados para la profesión de maestros","Se debe luvhar por la igualdad, la equidad de género, aplicar la ley ""todos somos iguales ante la ley""",Respeto sí pero no quieran imponernos a este grupo a la población general 
