Reforma del Estado,Combate a la Corrupción,"Seguridad, Paz y Justicia",El papel de México en el Mundo,Estado,Distrito
Pena de muerte a los distribuidores de drogas ellos no se tientan el corazón.,Que el servidor público viva solo de su salario que no haya corrupción.,Poder integrar personas que hayan sido víctimas para lograr un mayor éxito.,Defender nuestros intereses.,CDMX,1
Que se genere mayor educación a los postulados donde estén mayormente preparados ¨INEGI¨,Que la contraloría interna de la Federación (camara de diputados) sean integradas por funcionarios integros y capaces de realizar sus labores.,También que hagan una iniciativa donde se le dé trabajo a personas mayores de 30 años en adelante porque ya no encuentran trabajo.,Defensa de los derechos humanos.,CDMX,1
Que todo servidor de Derechos Humanos sea elegido por el pueblo.,Que los legisladores o poder legislativo su labor sea voluntaria.,Implementar en las escuelas primarias por lo menos una vez al mes Cultura de Paz.,Quedar bien con las causas justas no con los EU.,CDMX,1
Los problemas vienen desde el hogar educar a los hijos desde pequeños.,Que sean honestos en sus labores y no se queden como permanencia voluntaria en sus trabajos no sean fociles.,Concientizar a las personas sobre la drogadicción y lo que afectan a todos.,Brindar el apoyo a nuestros científicos.,CDMX,1
Que la austeridad republicana sea para los de alto nivel y no para los bajo nivel.,A las personas que se les descubra que realmente se enriquecieron por la corrupción que devuelvan lo que les sobra que se les castigue realmente.,Un programa integral educación trabajo y un estado más garantista.,La defensa de nuestros productos para el extranjero.,CDMX,1
También eficiencia en el uso de los recursos y transparentar todo el gasto público.,Combatir el nepotismo en Morena. Recordar y prohibir heredar los cargos públicos.,Dar de baja a los servidores corruptos.,Promover más lo que se hace en México.,CDMX,1
Conducirse con principios éticos estar más cerca de la comunidad.,Control y transparencia con servidor público por medio de la recolección y registro de datos además del control el presupuesto.,Documentar la vigilancia en colonias en la GAM.,Muy importante la cuestión científica y tecnológica.,CDMX,1
Y revocación de mandato a todos los servidores públicos.,Que se forme una institución de investigación para saber dónde queda el dinero del pueblo.,"Cero impunidad y cárcel a los culpables, cárceles humanistas.",Un estado más proteccionista,CDMX,1
Que se garantice una educación para los miembros de cualquier servidor y que no tenga un nivel básico.,No obtener a malos funcionarios al frente de cualquier función del Gobierno.,"Que haya más vigilancia en la colonia y escuelas, alumbrado público y cámaras.",Tratados comerciales con otros países.,CDMX,1
"Todos los servidores públicos deben trabajar para lo que son contratados, basta de corrupción y de tratos especiales.",Que el INE se conduzca con la verdad y el periodismo difunda lo cierto.,Educar constitucionalmente a todos los ciudadanos.,Un sistema alternativo de salud mexicano (inspirado en el libro la medicina a alcance de todos de Manuel Lezaeta Acharan).,CDMX,1
Que cada determinado tiempo cambien a los magistrados.,Estar vigilando en los centros de salud que se entregue el medicamento destinado a la ciudadanía porque nos dicen que hay medicamento.,"Que haya más cámaras de video vigilancia, que haya más vigilancia.",Que tengan trabajo los que ejerzan una carrera.,CDMX,1
Las instituciones respetar los poderes principalmente el Ejecutivo.,Elegir el mandatario adecuado para la continuidad.,Una limpia en nuestros mandos policiacos en GAM.,Vínculos comerciales con países de Latinoamérica y Asia.,CDMX,1
Abajo Arquímedez Pérez Bello.,Como ciudadanos nuestro deber conocer nuestra Carta Magna.,Realizar evaluación y selección de elementos de seguridad.,Poner atención en la necesidades de Mexico como abasto de medicinas.,CDMX,1
"Que chequen, todas las necesidades de cada familia.",Desarrolles vigilancia.,Que si una mujer es violada le pongan atencion.,Integracion e impulso de organizaciones latinoamericanas y del caribe en la defensa de las … e intereses politicos.,CDMX,1
Que haya más alumbrados.,Que las alcaldías sean más vigiladas por la Contraloría.,Lograr que nuestros jóvenes tengan un mejor apoyo asesorías gubernamentales y estudiantiles.,Hacer una ley para que EUA no promocione la ong …,CDMX,1
Que las reformas laborales sean respetadas y cumplir con lo adscrito en integridad.,Que los reclusorios no sean privados.,Garantizar DDHH.,Fortalecer los programas de ayuda a los migrantes.,CDMX,1
Que no haiga policías corruptos.,Que las calles no haya tantos baches.,Mano dura contra la delincuencia.,"Defensa costitucional del agua, campo, minas y bosques de nuestro país frente a otros países",CDMX,1
Los ministros del Tribunal Electoral del Poder Judicial de la Federación seas electos puor el pueblo.,Que se empiece por todos los puestos de policías.,Tener en las instancias personas realmente calificadas y con la humanidad para tratar a la gente.,Todos son importantes y que se cumplan.,CDMX,1
Que los diputados voten a favor del las iniciativas del diputado Alberto Martínez Urincho que son a favor del pueblo.,"La auditoría de los contratos de bienes servicios e inmuebles debe realizarlo quién lo solicita, con una supervisión de Función Pública y el SAT.",Prevenir el delito y adicciones desde el seno familiar con valores.,No al racismo.,CDMX,1
Qué realmente se vea el interés en el pueblo y el apoyo que todo servidor público cumpla.,Que se genere una encuesta a los policías con equipos en plataforma tecnológica.,Es la inseguridad.,,CDMX,1
Que duren el mismo tiempo que el presidente.,,Elección de jueces y magistrados por elección popular.,,CDMX,1
Areintestar y proceder a juzgar a los malos funcionarios federales y judiciales una justicia legal en contra de ellos.,,"Continuar con los apoyos a grupos vulnerables para evitar el crecimiento de la violencia. Atender causas, consecuencias y mejorar el Poder Judicial para que sea justo.",,CDMX,1
"Además de la cercanía con el pueblo, que se informe lo que hacen. Que se busque que el pueblo sepa de los representantes de nuestros 3 poderes.",,Fortalecer la educación y valores a los policías que no sean corruptos.,,CDMX,1
Que se atienda el pueblo desde el humanismo.,,A los que que den como magistrados que se les chequen constantemente sus cuentas bancarias para evitar enriquecimiento inexplicable.,,CDMX,1
Que los servidores públicos resuelvan los problemas.,,Buscar la forma o reforma constitucional que permita que el pueblo sea el que elija a todos sus gobernantes llámense ministros o consejeros del INE.,,CDMX,1
Que todos cumplan con lo que prometen para el pueblo siempre este con el que cumpla.,,Poner más actividades gratuitas para los jóvenes y niños para que no caigan las adicciones.,,CDMX,1
"Que los ministros, al igual que el presidente y gobernadores, se les pueda aplicar algo así, como la revocación de mandato.",,Regular la información que se sube a las redes sociales.,,CDMX,1
"Se debe dotar a todos los servidores públicos de condiciones laborales por ley, no becas, trabajo. Aquellos servidores públicos que trabajen en territorio se les debe de proveer de materiales, de papelería, además de seguridad para el ejercicio y recorrido del territorio.",,Se necesita más seguridad.,,CDMX,1
Reducción de costos en el INE y en salarios.,,Todas son importantes en particular no se debe permitir que a las Fuerzas Armadas se les humille ya no le tienen respeto.,,CDMX,1
Que sean servidores públicos con sentido humanista que verdaderamente sean unos paladines de la justicia y amor al prójimo y sean elegidos por el pueblo.,,"Reconstrucción, educación, depuración de los poderes Estatales, Municipales.",,CDMX,1
Que tomen en cuenta a los derechos humanos.,,Estrategias para acabar con el narcomenudeo.,,CDMX,1
Que corran a todas las ratas de dos patas que solamente sirven para eso … o sea para robar.,,Ver la posibilidad de,,CDMX,1
Fortificacion del INAI,,Fomentar el desarme en la población. Aumentar patrullaje e instalación de cámaras de videovigilancia en zonas de alta marginalidad. Fomentar campañas educativas y culturales enfocadas en el bienestar social.,,CDMX,1
"Todas las propuestas deben incluirse deben ser aprobadas, porque no se puede atender solo una hay muchas razones para hacer y que México siga creciendo.",,Monitorear y hacer caso a este tipo de tecnologías para proteger a la gente. Cámaras de videovigilancia.,,CDMX,1
Los diputados deben legislar a favor del pueblo.,,Buscar maneras optimas de informar al pueblo. Mejorar el seguimiento de cualquier tipo de denuncia.,,CDMX,1
Igualdad de impuestos entre los más tienen.,,Reforzamiento en el sistema penitenciario a los delitos de gravedad.,,CDMX,1
Que el periodismo hable con la verdad .,,Que no tengamos corrupción en las instituciones e Igualdad de género.,,CDMX,1
Fortificacion del INAI.,,,,CDMX,1
,,,,CDMX,1
