Soberanía energética,Economía con justicia social,Ciencia tecnología y humanismo,Bienestar social,Trabajo,Estado,Distrito
Disminuir el precio de la energía eléctrica para los hogares,Mayores impuestos a las grandes empresas,Fomentar proyectos de investigación en las escuelas que sirvan a las comunidades,Mejor capacitación a los responsables de difundir y llevar los programas de bienestar social,Más programas para los desempleados,Baja California Sur,1
"Impulsar energías alternativas, como la solar o eólica en las zonas que así se pueda",Mayores impuestos a los turistas extranjeros,Mayor inversión en investigaciones que apoyen a las comunidades,Seguro médico para todas y todos,Capacitación constante obligatoria para los trabajadores,Baja California Sur,1
Más refinerías para que tengamos una mejor soberanía energética,Apoyos a pequeñas y medianas empresas,Acceso democrático a los desarrollos tecnológicos,Sistema de cuidados para adultos mayores,Una política laboral con enfoque de género,Baja California Sur,1
Inversión en la infraestructura eléctrica,Programas económicos dirigidos a las mujeres,,Más vías de acceso en Baja California Sur,Vigilancia a la iniciativa privada para cumplir con los derechos laborales,Baja California Sur,1
Desarrollo de la energía nuclear,Eliminar la reforma laboral de 1997 que no otorga beneficios a los trabajadores,,,Terminar con el outsourcing,Baja California Sur,1
Defensa de la soberanía energética,,,,"Crear condiciones seguras para los trabajadores, combatir la delincuencia en los sectores productivos",Baja California Sur,1
,,,,Programas de bienestar laboral para los trabajadores informales,Baja California Sur,1
,,,,,Baja California Sur,1
"Es muy importantre la transparencia y nada de corrupción
Hacer reformas de leyes para que la energía sea del pueblo mexicano",,,Aumentar al doble el salario de los servidores de México,,Baja California Sur,2
Energía atómica: Energía de las más limpias y con un futuro tecnológico,,,"Cuando la diferencia social existe de igual manera, la preocupación por el bienestar ajeno disminuye. ",,Baja California Sur,2
"Aprovechamiento y admoinistración de los recursos naturales, combate a la corrupción",,,Los programas federales lleguen a todos los rincones del país,,Baja California Sur,2
"Tambien propongo disminuir los costos energéticos a la mitad, igual que el agua que es de vital importancia para la vida",,,Crear becas para todos los estudiantes universitarios,,Baja California Sur,2
"Que otros paises no se roben los recursos
",,,"Crear cultura laboral entre empleado y empleador, la creacioón del programa de cultura laboral dentro de la secretaria de trabajo",,Baja California Sur,2
Nunca más entregar a empresas extranjeras los recursos energéticos,,,"Que todos los trrabajadores tengan un salario digno, que no haya explotación y un trato digno",,Baja California Sur,2
Que la energía no sea privada ,,,Establecer una red de apoyo para todas las personas en situación de calle y se reintegren a la sociedad productiva,,Baja California Sur,2
"En edo de BCS es un estado con altas temperaturas, es importante que se tome en cuanta reducir las tarifas eléctricas y apoyar con paneles solares para las zonas turísticas",,,"Preparar al servidor de la nación no como un burócrata sino comonun siervo de la nación con trato humano.
Comunicación de las instituciones a la gente, escuchar a la gente, espina dorsal de nuestro país, crear un apolítica de comunicación.",,Baja California Sur,2
"En soberanía es importante realmente ser investoigador, desarrollador nacional y que los proyectos sean realmente mexicanos",,,Que prevalezcan los derechos de bienestar y se haga respetar la cosntrucción de los derechos humanos,,Baja California Sur,2
Todo desarrollo que vaya en beneficio del pueblo de méxico hay que impulsarlo y continuar con los proyectos que se han generado e impulsado durante el perido de transición hacia la transformación de México evitando el daño ecológico,,,Carreras técnicas con prácticas en las empresas. Enseñar oficios,,Baja California Sur,2
Mi propuesta es que se realice la red de agua potable para la colonia la Ballena.,,,Fortalecer las garantías laborales de las y los servidores de la nación o trabajadores de la Secretaría de Bienestar,,Baja California Sur,2
Seguir con la mejor energía que es la hidroeléctrica,,,Aprobar leyes que las personas que estan jubiladas o pensionadas puedan trabajar sin que la ley del IMSS se lo impida,,Baja California Sur,2
Que se realice la red de agua potable para BCS,,,Aumento de salarios a los servides de la nación,,Baja California Sur,2
Proponer plantas especiales para los estados dende les temperaturas son elevadas en verano,,,Las pensiones de bienestar deben de camnbiar a pagos mensuales y homologar al salario mínimo laboral y no al salario mínimo y así reducir la gran brecha de desigualldad erradicando la pobreza extrema,,Baja California Sur,2
"Todo lo relaciuonado al proyecto de nación no corresponde unicamente a la captación de las propuestas, es necesario comunicar y convocar a las grandes masas",,,Incrementar los programas de vivienda digna en zonas de mayor vulnerabilidad y priorizar los grupos vulnerables,,Baja California Sur,2
,,,"Impulsar a los adultos mayores y personas con discapacidad en empleos bien remunerados
En los cabos hace falta una casa hogar para los adultos mayores",,Baja California Sur,2
,,,Solicitamos mas presupuesto para madres trabajadoras y que tengamos mas becas para escuelas primarias,,Baja California Sur,2
,,,"El país debe alcanzar el pleno Estado de bienestar bas¿andose en mayor producción, mayor cobro de impuestos y una redistribución justa y humanista científica.",,Baja California Sur,2
,,,"Redireccionar el programa de jóvenes construyendo el futuro a estudiantes de universidad, para que tengan oportunidad mayor de poder estudiar una carrera universitaria. Programas de guarderías y apoyos a mades trabajadoras",,Baja California Sur,2
,,,"Ampliar el programa de madres trabajadoras. Tener una casa para adultos mayores, reflexión de conciencias a todo el pueblo, ir colonia por colonia.",,Baja California Sur,2
,,,"Los programas o medidas sociales implementadas por el gobierno de méxico, solo son un puntal no resuelve el Bienestar social, este se alcanzaría cuando el padre de familia solvente con la fuerza de su trabajo, las necesidades de la familia ",,Baja California Sur,2
,,,Asilo de ancianos para las adultos mayores. Que el programa de discapacidad fuera en todo el país de 0 a 64 años. Que se prohiba pago de cuotas en las escuelas.,,Baja California Sur,2
,,,Falta incluir el peograma de madres y padres trabajadores,,Baja California Sur,2
,,,Es importante la repartición de la riqueza para no tener tantos vagabundos así como delincuencia,,Baja California Sur,2
,,,Cerar becas para los estudiantes universitarios,,Baja California Sur,2
,,,"El control en lo posible de la inflación, sobre todo en la canasta básica y fortalecer la educación.",,Baja California Sur,2
,,,"Que las prepas no den más fichas para hacer exámenes, por ejemplo COBACH entrega 900 fichas y recibe 500",,Baja California Sur,2
,,,"Se necesita el apoyo a los emprendedores con los pequeños negocios ya que esta política es irreal, no hay para todos, se necesita seriedad y serteza para los que lo requieren",,Baja California Sur,2
,,,"Las hipotecas nunca se terminan de pagar las casas
Hay muchas ilegalidades hipotecarias",,Baja California Sur,2
,,,"Becar a jóvenes universitarios y hacerlo oficial. En movilidad, ayudar desde el gobierno para hacer plataformas y con buenas tarifas para no recurrir al pueblo y se lleven el dinero a otro país",,Baja California Sur,2
,,,"Programas de impulso con mayor capital a proyectos productivos y comunitarios
Programa para adultos mayores de 60 años",,Baja California Sur,2
,,,Queremos más guarderías y escuelas ,,Baja California Sur,2
,,,"Continuar con los programas de bienestar que han iniciado, que no aumenten el número de años para recibir la pensión alimentaria de adulto mayor, bajarla a 60 años. En BCS faltan casas para reunión de los adultos mayores.",,Baja California Sur,2
,,,Apoyar en medios masivos de comunicación a partidos como morena ,,Baja California Sur,2
,,,Bajar la edad  de las pensiones,,Baja California Sur,2
,,,  ,,Baja California Sur,2
Hacer una reforma en la cual se garantiza el desarrollo energético del país a través del desarrollo de energías renovables y no contaminantes,Que haya Bienestar Social para la gente humilde,Regular los autos contaminantes y mejorar la calidad del aire,El pueblo es primero ver por los trabajadores y validar que las empresas cumplan con el apoyo a quienes no tienen los suficientes recursos,"Generar más leyes que beneficien a los trabajadores, que les garanticen el derecho a la salud, sueldo digno, afore, prestaciones, vacaciones, vales y que se hagan respetar por las empresas privadas, que sean requerimiento para entrar al país",CDMX,1
