Pueblos originarios y afromexicanos,Medio ambiente,Campo y autosuficiencia alimentaria,Estado,Distrito
"Dar a conocer masivamente las inversiones realizadas, porque en general no se conocen.","Separar las aguas, por un lado el agua pluvial y por el otro lado agua de drenaje.","Ayudar a los campesinos con abono y semillas, erradicar la discriminación y asegurarles la compra de sus cosechas a un precio justo.",CDMX,1
"Hacer bases para democratizar a las comunidades, quitar el cacicazgo.","Cuidar el agua, no tirar basura, sembrar más árboles.",Continuar con el programa sembrando vida ya que es un excelente programa para la autosuficiencia del país. Darles más oportunidad a los mexicanos y a las empresas medianas y chicas para que puedan competir en autosuficiencia alimentaria.,CDMX,1
"Que nos apoyen a los ciudadanos, por medio de la red se implanten cursos de los diálectos originarios para que no se pierdan los diálectos que serian un orgullo de nuestro pais que se implementen sanciones a quienes se mofen.","No cortar los árboles, plantar más árboles y sancionar a la gente que tira basura.",Continuar con el programa sembrando vida.,CDMX,1
"Que en la CDMX ya se nos dé el reconocimiento oficial como pueblos originarios y por ende con todos sus derechos, acción afirmativa.",Concientizar más al mexicano para la mejora del ambiente.,Dar apoyo a las personas para seguir cultivando sus semillas y poder exportar sus productos. Implementar el proyecto de hidroponía para producir ciertos alimentos en los hogares sin necesidad de utilizar tierra.,CDMX,1
"Mayores programas sociales para estos pueblos y mejor protección, así como programas para erradicar la discriminación de estos pueblos.",Generar una verdadera campaña a nivel nacional para concientizar a las personas con relación al peligro del cambio climático.,Ayudando a los pueblos con el programa sembrando vida.,CDMX,1
Atender a las necesidades del pueblo. Conocer los derechos. Que los apoyos sociales lleguen a los pueblos.,"Recolecta de basura, limpiar los drenajes, los alcantarillados los ríos de aguas negras.",Hacen falta más proyectos para el campo. Apoyar más para que el pueblo pueda seguir ejerciendo el proyecto de sembrando vida.,CDMX,1
Respetar y no haya discriminación a nuestros hermanos.,Atender de manera importante el cuidado y mantenimiento de parques y jardines en cada entidad y a nivel nacional.,Seguir dando apoyos en beneficio de todos los campesinos para seguir produciendo maíz y no seguir consumiendo maíz importado.,CDMX,1
Que sean reconocidos incluidos en nuestra Constitución y nuestras leyes.,Cuidado de recursos naturales y tratamiento de aguas.,"En dar la pensión para adultos mayores y becas a niños de preescolar hasta universitarios, entre otros apoyos que impulsan a las familias. El cambio es más que evidente en el campo el gran apoyo ha sido muy importante para el consumo de los mexicanos.",CDMX,1
Los programas sociales se respeten y sobre todo las necesidades de los agricultores.,Camiones de basura para no tirar basura y limpiar las calles.,"Debemos implementar ayudas a los programas de crédito al campo. Sustentar los programas culturales agro educativos para el fortalecimiento, para el sustento de las familias que apoyan y que son del campo.",CDMX,1
Los pueblos y barrios originarios merecemos el reconocimiento como pueblo .,Más presupuesto al rescate de nuestros recursos naturales.,Programa sembrando vidas. Apoyar a las comunidades más alejadas y pobres.,CDMX,1
Apoyar con una propuesta de enseñar lenguas indígenas y fomentar a los padres que sigan con la enseñanza a sus hijos .,"Meter una materia a nivel primaria y secundaria que se llame ""cuidado del ambiente"".","Apoyar a los campesinos, aunque a otras personas les andan cobrando el fertilizante, pero si les dan el fertilizante no les dan el material que ocupan.",CDMX,1
Que la ley de minas se ligue con la consulta indígena. Que sean reconocidos como sujetos de derecho.,"Implementar la cultura del reciclaje la separación de la basura en los domicilios, crear leyes más dirigidas para las industrias, establecer lugares para depositar los desechos industriales dañinos al ambiente.",Más apoyos al campo para que seamos autosuficientes .,CDMX,1
Promover una ley que proteja a las comunidades indígenas y afros.,Reforestación y reciclaje. También es responsabilidad de los ciudadanos cuidar el medio ambiente.,"Se dotó de semillas, que dentro del programa busca incluir los plaguicidas para cuidar los patrimonios de los mismos campesinos, se incluyó menos carga fiscal a beneficio de los campesinos.",CDMX,1
Sobre todo acabar con la discriminación por el color y los rasgos y la falta de recursos.,Evitar que las aguas de drenajes desemboquen en arroyos arroyuelos y ríos.,De sembrando vidas y apoyos a todos los agricultores. Seguir apoyando a todas estas personas y más a los olvidados de las comunidades más escondidas y alejadas,CDMX,1
Educación y fuentes de trabajo a estas regiones sin discriminación. Con información y consulta previa.,Tratamientos de agua. Tala de árboles. Educación desde casa.,Que el próximo sexenio se alcance la soberanía alimentaria. Que se aplique la ley para el control del uso de agroquímicos nocivos como el glifosato.,CDMX,1
Más apoyo para nuestros hermanos indígenas y no explotarlos los apoyos. Apoyarlos para que tengan más recursos.,Poner más equipos de ejercicio en los parques .,Ha ganado cultivos para producir más nuestros propios alimentos. Seguir apoyando a la agricultura y cuidar las tierras.,CDMX,1
"Los pueblos indígenas y afromexicano son mexicanos 100%, el gobierno mexicano debe apoyarlos como mexicanos que son.",Se debe invertir en plantas de reciclaje y tratamiento de residuos.,Sembrando vida.,CDMX,1
Formación y educación desde la casa para lograr que se lleve a cabo nuestra gran transformación de la 4T.,"Más información para conocer cómo proteger los bosques, mares, glaciales. Promover la interacción con la naturaleza pero sin dañarla.",El programa de sembrando vida. Apoyar a todas las comunidades más alejadas y pobres .,CDMX,1
